a1,a2,a3,alpha,gmax,gmin,num_pop,gbest_per_gen,replication,seed,time
1,1.5,1,0.5,0.7,0.3,"(100, 50)",17.25,0,1111,105.73553419113159
1,1.5,1,0.5,0.7,0.3,"(50, 100)",18.408,0,1111,105.89148592948914
1,1.5,1,0.5,0.7,0.5,"(100, 50)",16.424,0,1111,105.50747227668762
1,1.5,1,0.5,0.7,0.5,"(50, 100)",13.282,0,1111,106.87893724441528
1,1.5,1,0.5,0.9,0.3,"(100, 50)",17.432,0,1111,105.17971801757812
1,1.5,1,0.5,0.9,0.3,"(50, 100)",19.682,0,1111,105.2777590751648
1,1.5,1,0.5,0.9,0.5,"(100, 50)",19.25,0,1111,104.40479779243469
1,1.5,1,0.5,0.9,0.5,"(50, 100)",22.482,0,1111,102.51628470420837
1,1.5,2,0.5,0.7,0.3,"(100, 50)",15.982,0,1111,103.4793496131897
1,1.5,2,0.5,0.7,0.3,"(50, 100)",15.683,0,1111,105.62810945510864
1,1.5,2,0.5,0.7,0.5,"(100, 50)",17.432,0,1111,102.27208733558655
1,1.5,2,0.5,0.7,0.5,"(50, 100)",15.79,0,1111,101.96692037582397
1,1.5,2,0.5,0.9,0.3,"(100, 50)",11.433,0,1111,101.55544137954712
1,1.5,2,0.5,0.9,0.3,"(50, 100)",17.25,0,1111,101.14205312728882
1,1.5,2,0.5,0.9,0.5,"(100, 50)",22.482,0,1111,97.73706674575806
1,1.5,2,0.5,0.9,0.5,"(50, 100)",12.366,0,1111,100.87558317184448
1,2,1,0.5,0.7,0.3,"(100, 50)",10.641,0,1111,100.37941241264343
1,2,1,0.5,0.7,0.3,"(50, 100)",21.066000000000003,0,1111,100.41959023475647
1,2,1,0.5,0.7,0.5,"(100, 50)",21.066000000000003,0,1111,99.73165678977966
1,2,1,0.5,0.7,0.5,"(50, 100)",13.181999999999999,0,1111,101.34058237075806
1,2,1,0.5,0.9,0.3,"(100, 50)",15.282,0,1111,100.49428915977478
1,2,1,0.5,0.9,0.3,"(50, 100)",17.25,0,1111,100.93552279472351
1,2,1,0.5,0.9,0.5,"(100, 50)",18.682,0,1111,99.79771041870117
1,2,1,0.5,0.9,0.5,"(50, 100)",17.25,0,1111,101.10044622421265
1,2,2,0.5,0.7,0.3,"(100, 50)",21.85,0,1111,100.52758240699768
1,2,2,0.5,0.7,0.3,"(50, 100)",18.516,0,1111,99.90462136268616
1,2,2,0.5,0.7,0.5,"(100, 50)",21.85,0,1111,100.35680985450745
1,2,2,0.5,0.7,0.5,"(50, 100)",19.682,0,1111,99.90292143821716
1,2,2,0.5,0.9,0.3,"(100, 50)",18.432,0,1111,98.16242790222168
1,2,2,0.5,0.9,0.3,"(50, 100)",15.983,0,1111,100.66020917892456
1,2,2,0.5,0.9,0.5,"(100, 50)",22.482,0,1111,97.8205931186676
1,2,2,0.5,0.9,0.5,"(50, 100)",11.433,0,1111,101.35283946990967
1,1.5,1,0.5,0.7,0.3,"(100, 50)",17.882,1,2222,99.90947008132935
1,1.5,1,0.5,0.7,0.3,"(50, 100)",18.066,1,2222,100.00959730148315
1,1.5,1,0.5,0.7,0.5,"(100, 50)",18.432,1,2222,98.69242644309998
1,1.5,1,0.5,0.7,0.5,"(50, 100)",13.282,1,2222,100.46238374710083
1,1.5,1,0.5,0.9,0.3,"(100, 50)",22.482,1,2222,98.59583687782288
1,1.5,1,0.5,0.9,0.3,"(50, 100)",15.683,1,2222,100.15820121765137
1,1.5,1,0.5,0.9,0.5,"(100, 50)",20.05,1,2222,98.65376329421997
1,1.5,1,0.5,0.9,0.5,"(50, 100)",9.975,1,2222,100.60885834693909
1,1.5,2,0.5,0.7,0.3,"(100, 50)",23.648999999999997,1,2222,99.02783489227295
1,1.5,2,0.5,0.7,0.3,"(50, 100)",21.833,1,2222,100.4780855178833
1,1.5,2,0.5,0.7,0.5,"(100, 50)",19.682,1,2222,99.71683025360107
1,1.5,2,0.5,0.7,0.5,"(50, 100)",18.332,1,2222,100.35226202011108
1,1.5,2,0.5,0.9,0.3,"(100, 50)",22.116,1,2222,99.3315041065216
1,1.5,2,0.5,0.9,0.3,"(50, 100)",22.482,1,2222,98.43080043792725
1,1.5,2,0.5,0.9,0.5,"(100, 50)",17.432,1,2222,99.30593538284302
1,1.5,2,0.5,0.9,0.5,"(50, 100)",22.482,1,2222,98.41320323944092
1,2,1,0.5,0.7,0.3,"(100, 50)",22.482,1,2222,97.4640622138977
1,2,1,0.5,0.7,0.3,"(50, 100)",16.883,1,2222,99.33908271789551
1,2,1,0.5,0.7,0.5,"(100, 50)",21.999,1,2222,99.84729266166687
1,2,1,0.5,0.7,0.5,"(50, 100)",22.482,1,2222,99.24781513214111
1,2,1,0.5,0.9,0.3,"(100, 50)",13.282,1,2222,99.13178730010986
1,2,1,0.5,0.9,0.3,"(50, 100)",17.432,1,2222,99.94692778587341
1,2,1,0.5,0.9,0.5,"(100, 50)",19.266,1,2222,97.92389488220215
1,2,1,0.5,0.9,0.5,"(50, 100)",17.432,1,2222,100.41819310188293
1,2,2,0.5,0.7,0.3,"(100, 50)",18.966,1,2222,98.08419609069824
1,2,2,0.5,0.7,0.3,"(50, 100)",18.432,1,2222,99.98226022720337
1,2,2,0.5,0.7,0.5,"(100, 50)",24.55,1,2222,97.9141137599945
1,2,2,0.5,0.7,0.5,"(50, 100)",18.466,1,2222,101.58154034614563
1,2,2,0.5,0.9,0.3,"(100, 50)",18.432,1,2222,98.25410437583923
1,2,2,0.5,0.9,0.3,"(50, 100)",18.432,1,2222,99.80773544311523
1,2,2,0.5,0.9,0.5,"(100, 50)",16.266,1,2222,99.44135117530823
1,2,2,0.5,0.9,0.5,"(50, 100)",17.432,1,2222,99.71844530105591
1,1.5,1,0.5,0.7,0.3,"(100, 50)",20.716,2,3333,99.543710231781
1,1.5,1,0.5,0.7,0.3,"(50, 100)",13.282,2,3333,99.99243998527527
1,1.5,1,0.5,0.7,0.5,"(100, 50)",18.408,2,3333,99.4234938621521
1,1.5,1,0.5,0.7,0.5,"(50, 100)",15.282,2,3333,100.69135689735413
1,1.5,1,0.5,0.9,0.3,"(100, 50)",18.408,2,3333,99.22021079063416
1,1.5,1,0.5,0.9,0.3,"(50, 100)",22.482,2,3333,99.77045440673828
1,1.5,1,0.5,0.9,0.5,"(100, 50)",18.066,2,3333,99.5217137336731
1,1.5,1,0.5,0.9,0.5,"(50, 100)",21.833,2,3333,99.53512644767761
1,1.5,2,0.5,0.7,0.3,"(100, 50)",18.408,2,3333,100.0422351360321
1,1.5,2,0.5,0.7,0.3,"(50, 100)",22.482,2,3333,99.30694913864136
1,1.5,2,0.5,0.7,0.5,"(100, 50)",18.408,2,3333,99.92809700965881
1,1.5,2,0.5,0.7,0.5,"(50, 100)",21.799,2,3333,100.6024808883667
1,1.5,2,0.5,0.9,0.3,"(100, 50)",15.683,2,3333,99.58758211135864
1,1.5,2,0.5,0.9,0.3,"(50, 100)",21.066000000000003,2,3333,99.77731537818909
1,1.5,2,0.5,0.9,0.5,"(100, 50)",18.408,2,3333,99.17802596092224
1,1.5,2,0.5,0.9,0.5,"(50, 100)",13.282,2,3333,100.11127614974976
1,2,1,0.5,0.7,0.3,"(100, 50)",21.833,2,3333,98.95954728126526
1,2,1,0.5,0.7,0.3,"(50, 100)",22.141,2,3333,100.22306227684021
1,2,1,0.5,0.7,0.5,"(100, 50)",18.408,2,3333,99.42056488990784
1,2,1,0.5,0.7,0.5,"(50, 100)",10.382,2,3333,101.0888352394104
1,2,1,0.5,0.9,0.3,"(100, 50)",19.682,2,3333,99.86186647415161
1,2,1,0.5,0.9,0.3,"(50, 100)",25.141,2,3333,99.83277726173401
1,2,1,0.5,0.9,0.5,"(100, 50)",19.682,2,3333,100.07146286964417
1,2,1,0.5,0.9,0.5,"(50, 100)",15.482,2,3333,100.58050417900085
1,2,2,0.5,0.7,0.3,"(100, 50)",18.408,2,3333,99.9764678478241
1,2,2,0.5,0.7,0.3,"(50, 100)",16.174,2,3333,100.52293634414673
1,2,2,0.5,0.7,0.5,"(100, 50)",21.066000000000003,2,3333,99.83158850669861
1,2,2,0.5,0.7,0.5,"(50, 100)",17.25,2,3333,101.42132806777954
1,2,2,0.5,0.9,0.3,"(100, 50)",19.032,2,3333,102.26690649986267
1,2,2,0.5,0.9,0.3,"(50, 100)",13.282,2,3333,100.2216489315033
1,2,2,0.5,0.9,0.5,"(100, 50)",13.181999999999999,2,3333,99.28021097183228
1,2,2,0.5,0.9,0.5,"(50, 100)",21.066000000000003,2,3333,99.61328125
1,1.5,1,0.5,0.7,0.3,"(100, 50)",13.282,3,4444,99.63162112236023
1,1.5,1,0.5,0.7,0.3,"(50, 100)",18.95,3,4444,100.61825823783875
1,1.5,1,0.5,0.7,0.5,"(100, 50)",19.266,3,4444,99.67703986167908
1,1.5,1,0.5,0.7,0.5,"(50, 100)",18.332,3,4444,100.36790943145752
1,1.5,1,0.5,0.9,0.3,"(100, 50)",20.716,3,4444,99.04898023605347
1,1.5,1,0.5,0.9,0.3,"(50, 100)",17.432,3,4444,100.52589702606201
1,1.5,1,0.5,0.9,0.5,"(100, 50)",13.282,3,4444,100.28396534919739
1,1.5,1,0.5,0.9,0.5,"(50, 100)",15.266,3,4444,100.29725432395935
1,1.5,2,0.5,0.7,0.3,"(100, 50)",18.432,3,4444,98.5751097202301
1,1.5,2,0.5,0.7,0.3,"(50, 100)",13.282,3,4444,101.41636395454407
1,1.5,2,0.5,0.7,0.5,"(100, 50)",15.025,3,4444,100.28116154670715
1,1.5,2,0.5,0.7,0.5,"(50, 100)",19.466,3,4444,99.47461104393005
1,1.5,2,0.5,0.9,0.3,"(100, 50)",19.966,3,4444,98.65283274650574
1,1.5,2,0.5,0.9,0.3,"(50, 100)",22.482,3,4444,98.70092034339905
1,1.5,2,0.5,0.9,0.5,"(100, 50)",18.516,3,4444,99.1613097190857
1,1.5,2,0.5,0.9,0.5,"(50, 100)",19.966,3,4444,100.97092080116272
1,2,1,0.5,0.7,0.3,"(100, 50)",14.775,3,4444,99.20292472839355
1,2,1,0.5,0.7,0.3,"(50, 100)",22.316000000000003,3,4444,101.19489979743958
1,2,1,0.5,0.7,0.5,"(100, 50)",23.599,3,4444,99.25167846679688
1,2,1,0.5,0.7,0.5,"(50, 100)",13.282,3,4444,100.51954913139343
1,2,1,0.5,0.9,0.3,"(100, 50)",19.466,3,4444,98.77607154846191
1,2,1,0.5,0.9,0.3,"(50, 100)",18.332,3,4444,100.48141598701477
1,2,1,0.5,0.9,0.5,"(100, 50)",19.682,3,4444,100.03163814544678
1,2,1,0.5,0.9,0.5,"(50, 100)",18.432,3,4444,100.25628972053528
1,2,2,0.5,0.7,0.3,"(100, 50)",18.408,3,4444,98.9462399482727
1,2,2,0.5,0.7,0.3,"(50, 100)",13.74,3,4444,100.5214569568634
1,2,2,0.5,0.7,0.5,"(100, 50)",13.282,3,4444,97.82896709442139
1,2,2,0.5,0.7,0.5,"(50, 100)",15.983,3,4444,99.8573546409607
1,2,2,0.5,0.9,0.3,"(100, 50)",22.441,3,4444,99.40150022506714
1,2,2,0.5,0.9,0.3,"(50, 100)",17.182,3,4444,100.68511247634888
1,2,2,0.5,0.9,0.5,"(100, 50)",17.016,3,4444,99.91745710372925
1,2,2,0.5,0.9,0.5,"(50, 100)",19.432000000000002,3,4444,100.44200897216797
1,1.5,1,0.5,0.7,0.3,"(100, 50)",15.282,4,5555,99.65505599975586
1,1.5,1,0.5,0.7,0.3,"(50, 100)",22.482,4,5555,99.15731024742126
1,1.5,1,0.5,0.7,0.5,"(100, 50)",17.716,4,5555,99.67664122581482
1,1.5,1,0.5,0.7,0.5,"(50, 100)",20.716,4,5555,99.97207593917847
1,1.5,1,0.5,0.9,0.3,"(100, 50)",21.282,4,5555,98.89924812316895
1,1.5,1,0.5,0.9,0.3,"(50, 100)",21.066000000000003,4,5555,99.92959403991699
1,1.5,1,0.5,0.9,0.5,"(100, 50)",13.282,4,5555,99.41412734985352
1,1.5,1,0.5,0.9,0.5,"(50, 100)",21.066000000000003,4,5555,99.88665986061096
1,1.5,2,0.5,0.7,0.3,"(100, 50)",15.815999999999999,4,5555,99.84193325042725
1,1.5,2,0.5,0.7,0.3,"(50, 100)",22.482,4,5555,100.59616589546204
1,1.5,2,0.5,0.7,0.5,"(100, 50)",15.282,4,5555,99.85082817077637
1,1.5,2,0.5,0.7,0.5,"(50, 100)",13.282,4,5555,101.25634527206421
1,1.5,2,0.5,0.9,0.3,"(100, 50)",22.482,4,5555,99.81678771972656
1,1.5,2,0.5,0.9,0.3,"(50, 100)",20.716,4,5555,100.22423481941223
1,1.5,2,0.5,0.9,0.5,"(100, 50)",22.482,4,5555,98.20893931388855
1,1.5,2,0.5,0.9,0.5,"(50, 100)",22.482,4,5555,100.26864171028137
1,2,1,0.5,0.7,0.3,"(100, 50)",15.282,4,5555,99.1042251586914
1,2,1,0.5,0.7,0.3,"(50, 100)",20.05,4,5555,99.3387451171875
1,2,1,0.5,0.7,0.5,"(100, 50)",20.716,4,5555,99.00703930854797
1,2,1,0.5,0.7,0.5,"(50, 100)",22.482,4,5555,98.90966176986694
1,2,1,0.5,0.9,0.3,"(100, 50)",22.482,4,5555,97.94916534423828
1,2,1,0.5,0.9,0.3,"(50, 100)",22.482,4,5555,99.21740007400513
1,2,1,0.5,0.9,0.5,"(100, 50)",16.082,4,5555,98.75007796287537
1,2,1,0.5,0.9,0.5,"(50, 100)",13.282,4,5555,99.8775565624237
1,2,2,0.5,0.7,0.3,"(100, 50)",13.282,4,5555,100.06936717033386
1,2,2,0.5,0.7,0.3,"(50, 100)",22.482,4,5555,100.61132335662842
1,2,2,0.5,0.7,0.5,"(100, 50)",13.282,4,5555,100.18872714042664
1,2,2,0.5,0.7,0.5,"(50, 100)",22.382,4,5555,99.58809876441956
1,2,2,0.5,0.9,0.3,"(100, 50)",13.282,4,5555,100.18638181686401
1,2,2,0.5,0.9,0.3,"(50, 100)",13.656,4,5555,100.57625985145569
1,2,2,0.5,0.9,0.5,"(100, 50)",18.516,4,5555,98.57525134086609
